,Name,Album,Artist,Link,Image
0,Shit Luck,The Lonesome Crowded West,Modest Mouse,No Preview Available,https://i.scdn.co/image/ab67616d0000b2732b865645168d8ac76a93578a
1,Smells Like Teen Spirit,Nevermind (Remastered),Nirvana,No Preview Available,https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf
2,You Know How I Do,Tell All Your Friends (Re-Issue),Taking Back Sunday,No Preview Available,https://i.scdn.co/image/ab67616d0000b27300b1ad0727b1682a892d923f
3,Basket Case,Dookie,Green Day,https://p.scdn.co/mp3-preview/1e706f165b9881aa0ff99c12aef5b619cebb0105?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d
4,The Futile,...Is A Real Boy,Say Anything,No Preview Available,https://i.scdn.co/image/ab67616d0000b27377464c4ac1c1f1861f5f336f
5,Sail,Megalithic Symphony Deluxe,AWOLNATION,No Preview Available,https://i.scdn.co/image/ab67616d0000b2735a41b6c530b167ffba6a92f5
6,Break Stuff,Greatest Hitz,Limp Bizkit,No Preview Available,https://i.scdn.co/image/ab67616d0000b273ca96d9b4e0df1d0120bf6d9b
7,I Hate Everything About You,Three Days Grace (Expanded Edition),Three Days Grace,https://p.scdn.co/mp3-preview/a6c3822f2022bda6d8067f0e9b62a55368130009?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273d3f7fc260cd67d23844ce2c0
8,Worst Behavior,Nothing Was The Same (Deluxe),Drake,No Preview Available,https://i.scdn.co/image/ab67616d0000b27367ffd8d6bbf399430ba9c044
9,Seventy Times 7,Your Favorite Weapon,Brand New,No Preview Available,https://i.scdn.co/image/ab67616d0000b273254372b5f1d267659252b0ca
10,I've Had It,Nervous Breakdown,Black Flag,https://p.scdn.co/mp3-preview/4b16b3b9ba4749001c66e76c9a25b355dbb6fcc1?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273a4eecbf28da3bd032e4c9e39
11,I've Been Tired,Come On Pilgrim,Pixies,No Preview Available,https://i.scdn.co/image/ab67616d0000b27343537927618ed6c1e7f12560
12,You Oughta Know,The Collection (Standard Edition),Alanis Morissette,https://p.scdn.co/mp3-preview/4e42c5d59ffa8bc69c2d5a549f87a3da19b53de7?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273d00e49003543a5bb5aa5b873
13,Look Back in Anger - 1999 Remaster,Lodger (1999 Remaster),David Bowie,No Preview Available,https://i.scdn.co/image/ab67616d0000b273058178f16ff0382bbcd52b89
14,Last Resort,Infest,Papa Roach,No Preview Available,https://i.scdn.co/image/ab67616d0000b273883c9f16e98d3aaba93fef97
15,Hit Me With Your Best Shot - 1999 Digital Remaster,Synchronistic Wanderings,Pat Benatar,No Preview Available,https://i.scdn.co/image/ab67616d0000b273a13112f40e90c961ed4db397
16,I'm Shipping Up To Boston,The Departed (Music from the Motion Picture),Various Artists,No Preview Available,https://i.scdn.co/image/ab67616d0000b2734b1807d4ef3c085db97a9b6a
17,Black Skinhead,Yeezus,Kanye West,No Preview Available,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9
18,I Fought The Law,Play New Rose For Me,Various Artists,No Preview Available,https://i.scdn.co/image/ab67616d0000b2735fbc809c7e2719948362ba65
19,Take Me Out,Franz Ferdinand,Franz Ferdinand,No Preview Available,https://i.scdn.co/image/ab67616d0000b273bf68b5be16edfc6f489a17d7
20,Revolution - Remastered 2009,The Beatles 1967 - 1970 (Remastered),The Beatles,No Preview Available,https://i.scdn.co/image/ab67616d0000b2736e3d3c964df32136fb1cd594
21,Drop The World,Rebirth,Lil Wayne,No Preview Available,https://i.scdn.co/image/ab67616d0000b273801cf8805673d07eb26da351
22,You Make Me Sick - Radio Mix,Can't Take Me Home,P!nk,No Preview Available,https://i.scdn.co/image/ab67616d0000b273b6d42aa9edfe910a7f85b2d5
23,You Fucked Up,God Ween Satan: The Oneness (Anniversary Edition),Ween,https://p.scdn.co/mp3-preview/3e7bac8c11d12c436a93676c755c314492a139de?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273b732177bee49f1c20edd2f19
24,In the End,Hybrid Theory (Bonus Edition),Linkin Park,https://p.scdn.co/mp3-preview/b5ee275ca337899f762b1c1883c11e24a04075b0?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
25,You Make Me Sick,Restoring Force: Full Circle,Of Mice & Men,No Preview Available,https://i.scdn.co/image/ab67616d0000b2736796646fdbbf19ae3e244bde
26,Party Up,The Best Of DMX,DMX,No Preview Available,https://i.scdn.co/image/ab67616d0000b273ac408154a4e66770780c49ad
27,Who Gon Stop Me,Watch The Throne (Deluxe),JAY-Z,No Preview Available,https://i.scdn.co/image/ab67616d0000b27370cf055d00ab1ec0290d3d5a
28,The Kill,A Beautiful Lie,Thirty Seconds To Mars,No Preview Available,https://i.scdn.co/image/ab67616d0000b273865b538169f199dac610b854
29,There's No 'I' In Team,Tell All Your Friends (Re-Issue),Taking Back Sunday,No Preview Available,https://i.scdn.co/image/ab67616d0000b27300b1ad0727b1682a892d923f
30,Enter Sandman,Metallica,Metallica,No Preview Available,https://i.scdn.co/image/ab67616d0000b273f2f3cd931f707244804807c1
31,The Way I Am,The Marshall Mathers LP,Eminem,No Preview Available,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42
32,Everything Sux,Everything Sucks,Descendents,https://p.scdn.co/mp3-preview/63a8deb42ee42bd7d61640c18b91590eaaccfa1b?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2730a54ff3b1f1a43f46d28a6f3
33,Complicated,Let Go,Avril Lavigne,https://p.scdn.co/mp3-preview/34657059f6a40050f96e3cbf3d929aa595f5dd60?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240
