,Name,Album,Artist,Link,Image
0,You're So Vain,No Secrets,Carly Simon,https://p.scdn.co/mp3-preview/64de489763e2f6f83f1ea86152f322656fc494b6?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273143aaf19ecc28c7b41d42d9d
1,No Scrubs,Fanmail,TLC,https://p.scdn.co/mp3-preview/87c4c3435b531616e2d642009a18eb711f87be4e?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27361ffafd5e31a37336531cf95
2,Really Don't Care,Demi,Demi Lovato,No Preview Available,https://i.scdn.co/image/ab67616d0000b273aadb13ae608f6af20528409b
3,Jealous (I Ain't With It),Jealous (I Ain't With It),Chromeo,https://p.scdn.co/mp3-preview/ba1116fc1df43e470201371dc4a1ee3d68c29653?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273774823bf45f0a7f7eb44abcb
4,Throw Yourself Away,The Long Road,Nickelback,https://p.scdn.co/mp3-preview/838354117409fdbc3b49a27ec208c819e5e79118?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27315a5f571e2e14b2c182bd0a3
5,I Hate Everything About You,Three Days Grace (Expanded Edition),Three Days Grace,https://p.scdn.co/mp3-preview/a6c3822f2022bda6d8067f0e9b62a55368130009?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273d3f7fc260cd67d23844ce2c0
6,Still Don’t Seem To Care,Alone With A Friend,Talk In Tongues,No Preview Available,https://i.scdn.co/image/ab67616d0000b273708d35f50f5d1b97774d2b36
7,Pretty On The Outside,Fever,Bullet For My Valentine,https://p.scdn.co/mp3-preview/d8df50f47e8d54d115a43634fe3dfff4a338efc7?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273f467961e3089fd694c893584
8,Boneyards,Horizons (Deluxe Edition),Parkway Drive,https://p.scdn.co/mp3-preview/6dcb33b8ac059336e7b6d83f6790054eadf7b719?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273248c3d99d296604ecd4f2c89
9,Cold Shoulder,Cold Shoulder (US Edition),Adele,No Preview Available,https://i.scdn.co/image/ab67616d0000b273a54148ed49a4d8fb295a3e74
10,Unhappy Birthday - 2011 Remaster,"Strangeways, Here We Come",The Smiths,https://p.scdn.co/mp3-preview/22dc926d196de2992e3d9bfc417bf21c4cba322d?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2736d965be72ad1bceb7f2bd089
11,yes girl,yes girl,Bea Miller,No Preview Available,https://i.scdn.co/image/ab67616d0000b273ce35489d1ad56ba6dcbb7f92
12,Reject,Nimrod,Green Day,https://p.scdn.co/mp3-preview/4728b6f63c29ac64e7fe8e0c53d11342c815ccb8?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273da4f6706ae0f2501c61ce776
13,"Honey, This Mirror Isn't Big Enough for the Two of Us",May Death Never Stop You,My Chemical Romance,https://p.scdn.co/mp3-preview/81b39c99e65190446be552b50190a06238d90c1f?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2731cc201d7657c287d2cada6c4
14,Call Me When You're Sober,The Open Door,Evanescence,No Preview Available,https://i.scdn.co/image/ab67616d0000b2737b8aabae10ab5bbe7c7f11c5
15,That's What You Get,Riot!,Paramore,https://p.scdn.co/mp3-preview/645937c1de8d7e3f5cc26c87fb2f0a6aff1d9cc1?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273bee754528c08d5ff6799a1eb
16,Since U Been Gone,Breakaway,Kelly Clarkson,https://p.scdn.co/mp3-preview/2bbd88b6a46fd986e9e4057756bcf5d876f14cfa?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27303dadde4d9d305c1c3e0d91c
