,Name,Album,Artist,Link,Image
0,Oily Night,The Black Rider,Tom Waits,No Preview Available,https://i.scdn.co/image/ab67616d0000b2737da23a0dc9238a483e4caba2
1,"Good Morning, Captain",Spiderland,Slint,No Preview Available,https://i.scdn.co/image/ab67616d0000b27305f9eb7ddf362147f32a95c9
2,The Escape,The Drift,Scott Walker,No Preview Available,https://i.scdn.co/image/ab67616d0000b273457da7c3369b2bd86fdefad8
3,Wild Women With Steak-Knives (The Homocidal Love Song For Solo Scream),Litanies Of Satan,Diamanda Galás,No Preview Available,https://i.scdn.co/image/ab67616d0000b2732e137cbac70a89b46b5aca94
4,Hello Skinny,Duck Stab,The Residents,No Preview Available,https://i.scdn.co/image/ab67616d0000b2736c5a2e5c20dbb47ade80949e
5,Evening Of Light,The Marble Index,Nico,No Preview Available,https://i.scdn.co/image/ab67616d0000b27369af97899d4fe634dc1b1c40
6,Sunny Came Home,A Few Small Repairs,Shawn Colvin,https://p.scdn.co/mp3-preview/2b61611445aef0e42d6ee5791b2aa3bab8d5c10e?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27353b24392ef405dac8c811daa
7,Rumble,Rockabilly Insanity,Various Artists,No Preview Available,https://i.scdn.co/image/ab67616d0000b273bbb462999d07e6fad2ab9a20
8,Frankie Teardrop,Suicide,Suicide,No Preview Available,https://i.scdn.co/image/ab67616d0000b2737b4658955ecb0a811cd3f042
9,Come To Daddy - Pappy Mix,Come To Daddy,Aphex Twin,No Preview Available,https://i.scdn.co/image/ab67616d0000b273c4d5de8930bbc762a68c0bc7
10,John Wayne Gacy. Jr.,Illinois,Sufjan Stevens,No Preview Available,https://i.scdn.co/image/ab67616d0000b2730528139d337700d7c9d3080c
11,What's He Building In There,Mule Variations,Tom Waits,No Preview Available,https://i.scdn.co/image/ab67616d0000b2739564080f709f9d31d7586629
12,'97 Bonnie & Clyde,Strange Little Girls,Tori Amos,https://p.scdn.co/mp3-preview/acee3f0e1eabc05860a2c2543bc3e51f398c39f8?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2737ec772c8102fddc69d64a521
13,Timothy,Platinum Masters,Rock 'n' Roll,No Preview Available,https://i.scdn.co/image/ab67616d0000b273e6f1146bfe29112b97ef7867
14,Don't Fear The Reaper,Greatest Love Songs Vol. 666,HIM,https://p.scdn.co/mp3-preview/a3de37767229c2c10d9bc0e9b476bbf770826c7f?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273c62abeccd25dc4a0003bc754
15,Goo Goo Muck,Off The Bone,The Cramps,No Preview Available,https://i.scdn.co/image/ab67616d0000b27327c337cfb2be8c395b04d61d
16,Ghosts,Exorcising Ghosts,Japan,No Preview Available,https://i.scdn.co/image/ab67616d0000b27316e5e41582b326aa3832da8e
