,Name,Album,Artist,Link,Image
0,Cruel Summer,Lover,Taylor Swift,null,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
1,Unwritten,Unwritten,Natasha Bedingfield,https://p.scdn.co/mp3-preview/5559460cc3e2c5aa1eeea1c16cf838cecde326d8?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4
2,Murder On The Dancefloor,Read My Lips,Sophie Ellis-Bextor,null,https://i.scdn.co/image/ab67616d0000b273b736151ed1c04f2d41d5f69e
3,Blinding Lights,After Hours,The Weeknd,null,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
4,Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,https://p.scdn.co/mp3-preview/acaea048f50a3b30ca24b348c84a6047373baabb?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
5,I'm Good (Blue),I'm Good (Blue),David Guetta,https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
6,exes,THINK LATER,Tate McRae,https://p.scdn.co/mp3-preview/e2bab2006bfccb91a35ec33d54411e56dd7c9d21?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49
7,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,null,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13
8,Whatever,Whatever,Kygo,https://p.scdn.co/mp3-preview/03bbf447d8f0101cff90c78b3ab0c4757c3bf27b?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2734d914470ab899815f103f5cc
9,Watermelon Sugar,Fine Line,Harry Styles,https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
10,(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,https://p.scdn.co/mp3-preview/e36e0bd4714844f1f9d992398b41a3e333f15cc9?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27388d71aadd009fe1a83df88f2
11,Shivers,=,Ed Sheeran,https://p.scdn.co/mp3-preview/08cec59d36ac30ae9ce1e2944f206251859844af?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2
12,Chemical,Chemical,Post Malone,null,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c
13,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,https://p.scdn.co/mp3-preview/3074e956e6794c0eadea660b9cef671db6b27234?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2
14,Baby Don't Hurt Me,Baby Don't Hurt Me,David Guetta,https://p.scdn.co/mp3-preview/a8f2e176e17e0f6298b42ef8e96118318fdd2b89?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
15,Rush,Something To Give Each Other,Troye Sivan,null,https://i.scdn.co/image/ab67616d0000b27367103283a4eb57578a428252
16,You Need To Calm Down,Lover,Taylor Swift,null,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
17,Made You Look,Takin' It Back,Meghan Trainor,https://p.scdn.co/mp3-preview/f0eb89945aa820c0f30b5e97f8e2cab42d9f0a99?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff
18,Single Soon,Single Soon,Selena Gomez,null,https://i.scdn.co/image/ab67616d0000b273fabd32dd9cefca8714c0ed41
19,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,https://p.scdn.co/mp3-preview/f654928ccaa4e6a9fb09a6eb3f208383eccc12a9?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116
20,Dynamite,BE,BTS,https://p.scdn.co/mp3-preview/98e266fea9df84fa3e5ca84934c513211e89489b?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
21,2002,Speak Your Mind (Deluxe),Anne-Marie,https://p.scdn.co/mp3-preview/d469ce8346ff12dcd2af05877d99662a0b334eca?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27338aae75dc37fb42457866ffd
22,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,null,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
23,Budapest,Wanted on Voyage (Expanded Edition),George Ezra,https://p.scdn.co/mp3-preview/03e6f12a87c862370fe965eb330fbcab1f2ee93f?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273d6df3bccf3ec41ea2f76debc
24,"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,https://p.scdn.co/mp3-preview/5e0c8e5d899dea532d697fb20a851450e9614cfc?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba
25,Pepas,Pepas,Farruko,https://p.scdn.co/mp3-preview/d34fb702d404e62f9816de0af525a7e2786a2c00?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2734239a6aa89738d8f798168ad
26,Kings & Queens,Heaven & Hell,Ava Max,https://p.scdn.co/mp3-preview/dc90347787fa47daa898d4ffbfff36074d184d64?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
27,Sucker,Happiness Begins,Jonas Brothers,null,https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597
28,Best Day Of My Life,"Oh, What A Life",American Authors,null,https://i.scdn.co/image/ab67616d0000b273cc761ba55b0e7abad4539abe
29,Castle on the Hill,÷ (Deluxe),Ed Sheeran,https://p.scdn.co/mp3-preview/f3cb6f2e07da189bbace23509fd9c03d63949292?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
30,THATS WHAT I WANT,MONTERO,Lil Nas X,https://p.scdn.co/mp3-preview/f6958f897e3817fcbb6647d62f66c71ee96d1981?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd
31,Sunshine,Sunshine,OneRepublic,null,https://i.scdn.co/image/ab67616d0000b2733b248f42fb53c64faf1d748e
32,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,null,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
33,My Universe,My Universe,Coldplay,https://p.scdn.co/mp3-preview/e6b780d0df7927114477a786b6a638cf40d19579?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273f60a9b7e2abafc38da31f575
34,If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,null,https://i.scdn.co/image/ab67616d0000b2731fc63c898797e3dbf04ad611
35,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,https://p.scdn.co/mp3-preview/0a9ed687dddcd95c83e37099958bdc6d54430e4d?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273815cb538fd7821595b2bc8c5
36,Rasputin,Rasputin,Majestic,https://p.scdn.co/mp3-preview/ad54133fba3671bed149315a15c410a52569f42b?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273f05cf0af79d057704dc994f4
37,Señorita,Señorita,Shawn Mendes,null,https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb
38,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,https://p.scdn.co/mp3-preview/3938e09213235a9c38dc190ec5e72024c5edf746?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb
39,Shower,Shower,Becky G,https://p.scdn.co/mp3-preview/147f604daafe57187f50f6dafa5a052262eedad5?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273f7f5503cfc6a54d31e65b112
