,Name,Album,Artist,Link,Image
0,Heathens,Heathens,Twenty One Pilots,https://p.scdn.co/mp3-preview/31b8d72a9480d06d28846b843539b8b5e58696db?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2732ca3ba8f334ca5a5f0312efb
1,Attention,Voicenotes,Charlie Puth,https://p.scdn.co/mp3-preview/db76d34af2f966975e0c1b8b9e43dca882e27229?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273897f73256b9128a9d70eaf66
2,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,No Preview Available,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521
3,Believer,Evolve,Imagine Dragons,No Preview Available,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
4,Galway Girl,÷ (Deluxe),Ed Sheeran,https://p.scdn.co/mp3-preview/9b7635464dc2caea3837fcc5680d0f5f5d39ab03?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
5,Faded,Different World,Alan Walker,https://p.scdn.co/mp3-preview/dd79198f4b4c43aef9c8e8e1c4708a402862dd0e?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a
6,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,https://p.scdn.co/mp3-preview/582525d17cae952887337a1fcdf0e4763bf9ad1a?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d
7,Fight Song,Wildfire,Rachel Platten,https://p.scdn.co/mp3-preview/6f663802836a949b3485a71e13ff92d7a6fba6b2?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273a9e4d7fae5dfcc8f9cc96bc9
8,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,https://p.scdn.co/mp3-preview/dbf4049b4e6c037a9f03f7ce5299e9512d2ae8fa?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d
9,Shape of You,÷ (Deluxe),Ed Sheeran,https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
10,Something Just Like This,Memories...Do Not Open,The Chainsmokers,https://p.scdn.co/mp3-preview/4e117abe76700eb13e9e0557fa2d9c44b565b9da?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94
11,Treat You Better,Illuminate (Deluxe),Shawn Mendes,No Preview Available,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521
12,Thunder,Evolve,Imagine Dragons,No Preview Available,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
13,Havana (feat. Young Thug),Camila,Camila Cabello,https://p.scdn.co/mp3-preview/49653dbbec996f228cb6edc046d318cd5a249ee6?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4
14,Let Me Love You,Encore,DJ Snake,No Preview Available,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc
15,Mama,Blue,Jonas Blue,No Preview Available,https://i.scdn.co/image/ab67616d0000b2735b6bcc59c3562a6f362344c6
16,Alone,Different World,Alan Walker,https://p.scdn.co/mp3-preview/ab66780b7a2f22456185bfa811515eaef4f7254c?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a
17,That's What I Like,24K Magic,Bruno Mars,https://p.scdn.co/mp3-preview/93046e987d8c5bfdbeea2768ac1a8ecea17bd7e0?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
18,In the Name of Love,In the Name of Love,Martin Garrix,https://p.scdn.co/mp3-preview/4ed5a7f1b466a7635d625240b600af899a8e5b51?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2738c77bcf5f5a227d270d23370
19,Wolves,Wolves,Selena Gomez,No Preview Available,https://i.scdn.co/image/ab67616d0000b273307910d4242c0d6b1fedf955
20,Mercy,Illuminate (Deluxe),Shawn Mendes,No Preview Available,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521
21,How Long,Voicenotes,Charlie Puth,https://p.scdn.co/mp3-preview/f7c09279fe91c88bb8a55062fbf368ec1087aeba?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273897f73256b9128a9d70eaf66
22,Paris,Memories...Do Not Open,The Chainsmokers,https://p.scdn.co/mp3-preview/2b043ab3ea679d2e91c5bd827cbf24ef7a2b1b44?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94
23,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,No Preview Available,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef
24,Perfect,÷ (Deluxe),Ed Sheeran,https://p.scdn.co/mp3-preview/4e30857a3c7da3f8891483643e310bb233afadd2?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
25,24K Magic,24K Magic,Bruno Mars,https://p.scdn.co/mp3-preview/3a76820d510fa5f84abb413e9d13815bcc86da0f?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
26,Friends (with BloodPop®),Friends (with BloodPop®),Justin Bieber,No Preview Available,https://i.scdn.co/image/ab67616d0000b2735e8213c6183630b7d1931bdf
27,Look What You Made Me Do,reputation,Taylor Swift,No Preview Available,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
28,Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,No Preview Available,https://i.scdn.co/image/ab67616d0000b2734122abdb126fc17db275f710
29,Starboy,Starboy,The Weeknd,No Preview Available,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
30,Perfect Strangers,Blue,Jonas Blue,No Preview Available,https://i.scdn.co/image/ab67616d0000b2735b6bcc59c3562a6f362344c6
31,Issues,Nervous System,Julia Michaels,No Preview Available,https://i.scdn.co/image/ab67616d0000b273a5acfd33d055ca075b829cc1
32,My Way,My Way,Calvin Harris,https://p.scdn.co/mp3-preview/ed8d125912048b01914f6e5861742bec125602e8?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2738d12bc5e3ea5c9f4a967de32
33,Ride,Blurryface,Twenty One Pilots,https://p.scdn.co/mp3-preview/b571ceecaadc03941bdf4e683ea26e4e6d3f7c17?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273352e5ec301a02278ffe53d14
34,More Than You Know,More Than You Know,Axwell /\ Ingrosso,No Preview Available,https://i.scdn.co/image/ab67616d0000b273fba6de0b38b0168d480b1a27
35,What About Us,Beautiful Trauma,P!nk,https://p.scdn.co/mp3-preview/2af485dcb9d7635367136b17ee74b88d8e895229?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27300164c96548a622d34b39828
36,Slow Hands,Flicker (Deluxe),Niall Horan,No Preview Available,https://i.scdn.co/image/ab67616d0000b2735bac234d5511248b248caf36
37,Your Song,Phoenix (Deluxe Edition),Rita Ora,https://p.scdn.co/mp3-preview/d57008f417a1466ac0ab02020560d4d61d904e80?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273f1b136eb0388414a8225a348
