,Name,Album,Artist,Link,Image
0,We Tried,We Tried,Louise Harris,https://p.scdn.co/mp3-preview/ee1fae43bae16c9c41d390640bf5c50b09acb08b?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27354f7817d63cf98c972665b69
1,Already Gone,Already Gone,Grace Davies,https://p.scdn.co/mp3-preview/1ead7d4f5d11ef942a40229323518cf7000d2dd2?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273c19357562606e6dbd6af9d24
2,Life Without You,The Split Series 3 - (Original Songs from the Television Series),Olivia Broadfield,https://p.scdn.co/mp3-preview/f86fcc5fc54c663c738dd17aebd3e421b02cb445?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2735a49655bc8b8cf52ecea4f73
3,we’ll be fine - acoustic,we’ll be fine (acoustic),Luz,https://p.scdn.co/mp3-preview/05ead9391b92240d56a318286a419a42388602f5?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273f44d10332f9748a771401e52
4,I Can't Make You Love Me - Live,Café Covers,Various Artists,https://p.scdn.co/mp3-preview/07a2a8f80bed4d8d5a829be266b4c61d71de881a?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27308212ac393d4dee01048fc71
5,Keep Me - Acoustic,Keep Me (Acoustic),Ashley Singh,https://p.scdn.co/mp3-preview/44a7b272e8b831c407e9e277cfec9b0c48dd9996?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2732f8351969d0229de6fbe9603
6,In My Arms,Write You Out,Will Killen,https://p.scdn.co/mp3-preview/30420dfccc6aa4185cdf6f4904461dab0c826847?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27336e12d1bdcd9f99fc87be82e
7,Scars,Orbit,Brie Capone,https://p.scdn.co/mp3-preview/fcbef5bf625adf2c4ee7208a7789b777ea2f899e?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2731114f5558857f4d679d91f3a
8,Falling,Fine Line,Harry Styles,https://p.scdn.co/mp3-preview/8d18a1a78e59131bf03cba65d124f803f5834ef6?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
9,Only You - Acoustic,Only You (Acoustic),Sarah Close,https://p.scdn.co/mp3-preview/1bbc949837c618a032343dc063c9cda64ed61c82?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27373530660aeb2e199459d2429
