,Name,Album,Artist,Link,Image
0,Next Year,Next Year,Two Door Cinema Club,No Preview Available,https://i.scdn.co/image/ab67616d0000b27354a9a822dde8bbb6f22c849e
1,Killing You,Evergreen,BROODS,No Preview Available,https://i.scdn.co/image/ab67616d0000b2734016d72958f2aa2b00df37bf
2,Four Walls,Evergreen,BROODS,No Preview Available,https://i.scdn.co/image/ab67616d0000b2734016d72958f2aa2b00df37bf
3,Twin Size Mattress,Talon Of The Hawk,The Front Bottoms,No Preview Available,https://i.scdn.co/image/ab67616d0000b273da378c9e58cf5685d7096284
4,Flashlight,The Front Bottoms,The Front Bottoms,No Preview Available,https://i.scdn.co/image/ab67616d0000b273563c89a37df7ee8ce3d58df9
5,Peach,Talon Of The Hawk,The Front Bottoms,No Preview Available,https://i.scdn.co/image/ab67616d0000b273da378c9e58cf5685d7096284
6,Talk Too Much,Talk Too Much,COIN,https://p.scdn.co/mp3-preview/fe1d73e488803aa0f2b1bf59281a722d3554f6d4?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27389a56c40880a68aa7ce0a97d
7,Run,COIN,COIN,https://p.scdn.co/mp3-preview/91fa3a5fa56a9e1f9be5d383995350093033ea96?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273b9ac9914eb90a73f7ada8c6c
8,HAPPINESS,H A R D L O V E,NEEDTOBREATHE,https://p.scdn.co/mp3-preview/3269a0fa1335d341adc9fe94603eccd40175302c?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2732c951214760748a53b3e89f2
9,Multiplied,Rivers in the Wasteland,NEEDTOBREATHE,https://p.scdn.co/mp3-preview/3bf6dd54d5531c3b1998b4f6d27df3c5d0b3e1ac?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273cf2231491daba35f7345570f
10,My Best Friend,35 Biggest Hits,Tim McGraw,https://p.scdn.co/mp3-preview/03245a316075dcc63351f65dde20bb2535c019ff?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273a7e4cf2467574833e1f0fda5
11,Spirits,Spirits,The Strumbellas,No Preview Available,https://i.scdn.co/image/ab67616d0000b27399a2623c08df55b2db76f146
12,Eyes Wide,Eyes Wide,Handsome Ghost,No Preview Available,https://i.scdn.co/image/ab67616d0000b273fe34150e7d9f928905de4220
